variable,percona default,server1 mariadb server,percona server2,reason,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
port,3306,3306,,,,,,,,,,,,,,,,,,,,,,,,,,,
socket,/var/lib/mysql/mysql.sock,/var/run/mysqld/mysqld.sock,,,,,,,,,,,,,,,,,,,,,,,,,,,
user,mysql,mysql,,,,,,,,,,,,,,,,,,,,,,,,,,,
default_storage_engine,InnoDB,InnoDB,,,,,,,,,,,,,,,,,,,,,,,,,,,
socket,/var/lib/mysql/mysql.sock,/var/run/mysqld/mysqld.sock,,,,,,,,,,,,,,,,,,,,,,,,,,,
pid_file,/var/lib/mysql/mysql.pid,/var/run/mysqld/mysqld.pid,,,,,,,,,,,,,,,,,,,,,,,,,,,
key_buffer_size,32M,128M,,"use for isam engine, ignore for innodb",,,,,,,,,,,,,,,,,,,,,,,,,
myisam_recover,"FORCE,BACKUP",BACKUP,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_allowed_packet,16M,128M,128M,"When you change the message buffer size by changing the value of the max_allowed_packet variable, you should also change the buffer size on the client side if your client program permits it. The default max_allowed_packet value built in to the client library is 1GB, but individual client programs might override this. For example, mysql and mysqldump have defaults of 16MB and 24MB, respectively. They also enable you to change the client-side value by setting max_allowed_packet on the command line or in an option file. The session value of this variable is read only. The client can receive up to as many bytes as the session value. However, the server will not send to the client more bytes than the current global max_allowed_packet value. (The global value could be less than the session value if the global value is changed after the client connects.)",,,,,,,,,,,,,,,,,,,,,,,,,
max_connect_errors,1000000,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,
sysdate_is_now,1,,1,"The session value of this variable is read only. The client can receive up to as many bytes as the session value. However, the server will not send to the client more bytes than the current global max_allowed_packet value. (The global value could be less than the session value if the global value is changed after the client connects.)",,,,,,,,,,,,,,,,,,,,,,,,,
innodb,FORCE,,FORCE,,,,,,,,,,,,,,,,,,,,,,,,,,
datadir,/var/lib/mysql/,/var/lib/mysql,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_bin,/var/lib/mysql/mysql-bin,/var/log/mysql/mariadb-bin,,"enabling binary logging is mandatory if you want the server to act as a replication master. If so, don’t forget to also set server_id to a unique value. It is also useful for a single server when you want to be able to do point-in-time recovery: restore your latest backup and apply the binary logs. Once created, binary log files are kept forever. So if you do not want to run out of disk space, you should either purge old files with PURGE BINARY LOGS or set expire_logs_days to specify after how many days the logs will be automatically purged.",,,,,,,,,,,,,,,,,,,,,,,,,
expire_logs_days,14,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,
sync_binlog,1,,1,"Binary logging however is not free, so if you do not need for instance on a replica that is not a master, it is recommended to keep it disabled.Binary logging however is not free, so if you do not need for instance on a replica that is not a master, it is recommended to keep it disabled.",,,,,,,,,,,,,,,,,,,,,,,,,
tmp_table_size,32M,64M,128M,,,,,,,,,,,,,,,,,,,,,,,,,,
max_heap_table_size,32M,64M,128M,,,,,,,,,,,,,,,,,,,,,,,,,,
query_cache_type,0,OFF,0,Set the query cache type. Setting the GLOBAL value sets the type for all clients that connect thereafter. Individual clients can set theSESSION value to affect their own use of the query cache. Possible values are shown in the following table. 0 == do not cache,,,,,,,,,,,,,,,,,,,,,,,,,
query_cache_size,0,100M,0,"the query cache is a well known bottleneck that can be seen even when concurrency is moderate. The best option is to disable it from day 1 by setting query_cache_size = 0 (now the default on MySQL 5.6) and to use other ways to speed up read queries: good indexing, adding replicas to spread the read load or using an external cache (memcache or redis for instance). If you have already built your MySQL application with the query cache enabled and if you have never noticed any problem, the query cache may be beneficial for you. So you should be cautious if you decide to disable it.",,,,,,,,,,,,,,,,,,,,,,,,,
max_connections,500,200,500,"if you are often facing the ‘Too many connections’ error, max_connections is too low. It is very frequent that because the application does not close connections to the database correctly, you need much more than the default 151 connections. The main drawback of high values for max_connections (like 1000 or more) is that the server will become unresponsive if for any reason it has to run 1000 or more active transactions. Using a connection pool at the application level or a thread pool at the MySQL level can help here.",,,,,,,,,,,,,,,,,,,,,,,,,
thread_cache_size,50,128,128,"How many threads the server should cache for reuse. When a client disconnects, the client's threads are put in the cache if there are fewer than thread_cache_size threads there. Requests for threads are satisfied by reusing threads taken from the cache if possible, and only when the cache is empty is a new thread created. This variable can be increased to improve performance if you have a lot of new connections. Normally, this does not provide a notable performance improvement if you have a good thread implementation. However, if your server sees hundreds of connections per second you should normally set thread_cache_size high enough so that most new connections use cached threads. By examining the difference between the Connections and Threads_created status variables, you can see how efficient the thread cache is. For details, see Section 5.1.7, “Server Status Variables”.",,,,,,,,,,,,,,,,,,,,,,,,,
open_files_limit,65535,,65535,The number of files that the operating system permits mysqld to open. The value of this variable at runtime is the real value permitted by the system and might be different from the value you specify at server startup. The value is 0 on systems where MySQL cannot change the number of open files.,,,,,,,,,,,,,,,,,,,,,,,,,
table_definition_cache,1024,,1024,"The number of table definitions (from .frm files) that can be stored in the definition cache. If you use a large number of tables, you can create a large table definition cache to speed up opening of tables. The table definition cache takes less space and does not use file descriptors, unlike the normal table cache. The minimum value is 400. The default value is based on the following formula, capped to a limit of 2000:",,,,,,,,,,,,,,,,,,,,,,,,,
table_open_cache,2048,400,2048,"The number of open tables for all threads. Increasing this value increases the number of file descriptors that mysqld requires. You can check whether you need to increase the table cache by checking the Opened_tables status variable. See Section 5.1.7, “Server Status Variables”. If the value of Opened_tables is large and you do not use FLUSH TABLES often (which just forces all tables to be closed and reopened), then you should increase the value of the table_open_cache variable. For more information about the table cache, seeSection 8.4.3.1, “How MySQL Opens and Closes Tables”.",,,,,,,,,,,,,,,,,,,,,,,,,
innodb_flush_method,O_DIRECT,O_DIRECT,O_DIRECT,"DIRECT_IO relieves I/O pressure. Direct I/O is not cached, If it set to O_DIRECT avoids double buffering with buffer pool and filesystem cache. Given that you have hardware RAID controller and battery-backed write cache.",,,,,,,,,,,,,,,,,,,,,,,,,
innodb_log_files_in_group,2,,2,The number of log files in the log group. InnoDB writes to the files in a circular fashion. The default (and recommended) value is 2. The location of the files is specified by innodb_log_group_home_dir. The combined size of log files (innodb_log_file_size *innodb_log_files_in_group) can be up to 512GB.,,,,,,,,,,,,,,,,,,,,,,,,,
innodb_log_file_size,512M,,512M,"The size in bytes of each log file in a log group. The combined size of log files (innodb_log_file_size * innodb_log_files_in_group) cannot exceed a maximum value that is slightly less than 512GB. A pair of 255 GB log files, for example, approaches the limit but does not exceed it. The default value is 48MB.",,,,,,,,,,,,,,,,,,,,,,,,,
innodb_flush_log_at_trx_commit,1,,1,"Controls the balance between strict ACID compliance for commit operations and higher performance that is possible when commit-related I/O operations are rearranged and done in batches. You can achieve better performance by changing the default value but then you can lose up to a second of transactions in a crash. The default value of 1 is required for full ACID compliance. With this value, the contents of the InnoDB log buffer are written out to the log file at each transaction commit and the log file is flushed to disk.",,,,,,,,,,,,,,,,,,,,,,,,,
innodb_file_per_table,1,1,1,"When innodb_file_per_table is enabled (the default), InnoDB stores the data and indexes for each newly created table in a separate.ibd file instead of the system tablespace. The storage for these tables is reclaimed when the tables are dropped or truncated. This setting enables InnoDBfeatures such as table compression. See Section 14.7.4, “InnoDB File-Per-Table Tablespaces” for more information.",,,,,,,,,,,,,,,,,,,,,,,,,
innodb_buffer_pool_size,108G,6G,108G,"The size in bytes of the buffer pool, the memory area where InnoDB caches table and index data. The default value is 134217728 bytes (128MB). The maximum value depends on the CPU architecture; the maximum is 4294967295 (232-1) on 32-bit systems and 18446744073709551615 (264-1) on 64-bit systems. On 32-bit systems, the CPU architecture and operating system may impose a lower practical maximum size than the stated maximum. When the size of the buffer pool is greater than 1GB, settinginnodb_buffer_pool_instances to a value greater than 1 can improve the scalability on a busy server.",,,,,,,,,,,,,,,,,,,,,,,,,
log_error,/var/lib/mysql/mysql-error.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_queries_not_using_indexes,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
slow_query_log,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
slow_query_log_file,/var/lib/mysql/mysql-slow.log,/var/log/mysql/mariadb-slow.log,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nice,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
tmpdir,,/tmp,,,,,,,,,,,,,,,,,,,,,,,,,,,
lc_messages_dir,,/usr/share/mysql,,,,,,,,,,,,,,,,,,,,,,,,,,,
lc_messages,,en_US,,,,,,,,,,,,,,,,,,,,,,,,,,,
connect_timeout,,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,
wait_timeout,,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,
sort_buffer_size,,4M,,,,,,,,,,,,,,,,,,,,,,,,,,,
bulk_insert_buffer_size,,128M,,,,,,,,,,,,,,,,,,,,,,,,,,,
myisam_sort_buffer_size,,512M,,,,,,,,,,,,,,,,,,,,,,,,,,,
concurrent_insert,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
read_buffer_size,,2M,,,,,,,,,,,,,,,,,,,,,,,,,,,
read_rnd_buffer_size,,1M,,,,,,,,,,,,,,,,,,,,,,,,,,,
query_cache_limit,,256K,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_warnings,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
long_query_time,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_slow_verbosity,,query-plan,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_bin_index,,/var/log/mysql/mariadb-bin.index,,,,,,,,,,,,,,,,,,,,,,,,,,,
max_binlog_size,,100M,,,,,,,,,,,,,,,,,,,,,,,,,,,
innodb_log_buffer_size,,8M,8M,"Innodb writes changed data record into lt’s log buffer, which kept in memory and it saves disk I/O for large transactions as it not need to write the log of changes to disk before transaction commit. 4 MB – 8 MB is good start unless you write a lot of huge blobs",,,,,,,,,,,,,,,,,,,,,,,,,
innodb_open_files,,400,400,"This configuration option is only relevant if you use multiple InnoDB tablespaces. It specifies the maximum number of .ibd files that MySQL can keep open at one time. The minimum value is 10. The default value is 300 if innodb_file_per_table is not enabled, and the higher of 300 and table_open_cache otherwise.",,,,,,,,,,,,,,,,,,,,,,,,,
innodb_io_capacity,,400,400,"The innodb_io_capacity parameter sets an upper limit on the number of I/O operations performed per second by InnoDBbackground tasks, such as flushing pages from the buffer pool and merging data from the change buffer.",,,,,,,,,,,,,,,,,,,,,,,,,
bind_address,,0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
key_buffer,,16M,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Additional Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
innodb_buffer_pool_instances,,,32,Multiple innodb buffer pools introduced in InnoDB 1.1 and MySQL 5.5. In MySQL 5.5 the default value for it was 1 which is changed to 8 as new default value in MySQL 5.6. Minimum innodb_buffer_pool_instances should be lie between 1 (minimum) & 64 (maximum). Enabling innodb_buffer_pool_instances is useful in highly concurrent workload as it may reduce contention of the global mutexes.,,,,,,,,,,,,,,,,,,,,,,,,,
innodb_thread_concurrency,,,0,"With improvements to the InnoDB engine, it is recommended to allow the engine to control the concurrency by keeping it to default value (which is zero). If you see concurrency issues, you can tune this variable. A recommended value is 2 times the number of CPUs plus the number of disks. It’s dynamic variable means it can set without restarting MySQL server.",,,,,,,,,,,,,,,,,,,,,,,,,
skip_name_resolve,,,1,"when a client connects, the server will perform hostname resolution, and when DNS is slow, establishing the connection will become slow as well. It is therefore recommended to start the server with skip-name-resolve to disable all DNS lookups. The only limitation is that the GRANT statements must then use IP addresses only, so be careful when adding this setting to an existing system.",,,,,,,,,,,,,,,,,,,,,,,,,
innodb_buffer_pool_instances.,,,4,"The number of regions that the InnoDB buffer pool is divided into. For systems with buffer pools in the multi-gigabyte range, dividing the buffer pool into separate instances can improve concurrency, by reducing contention as different threads read and write to cached pages. Each page that is stored in or read from the buffer pool is assigned to one of the buffer pool instances randomly, using a hashing function. Each buffer pool manages its own free lists, flush lists, LRUs, and all other data structures connected to a buffer pool, and is protected by its own buffer pool mutex. This option takes effect only when you set the innodb_buffer_pool_size to a size of 1 gigabyte or more. The total size you specify is divided among all the buffer pools. For best efficiency, specify a combination of innodb_buffer_pool_instances and innodb_buffer_pool_size so that each buffer pool instance is at least 1 gigabyte.",,,,,,,,,,,,,,,,,,,,,,,,,
table_open_cache_instances,,,16,"default val is 16. Table cache is where the list of currently opened tables is stored and the mutex is locked whenever a table is opened or closed (and, in fact, in a number of other cases) – even if that’s an implicit temporary table. And using multiple partitions definitely reduces potential contention here. I’ve seen this LOCK_open mutex issue in the wild too many times.",,,,,,,,,,,,,,,,,,,,,,,,,
Server Variables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
